Step,Reward,Accumulated reward,Throttle,Steer,Deviation,Velocity,Brake
105,0.9159708666801454,86.85730773769991,0.5,0.01,1.0,3.4694173336029053,-1.0
106,0.9177795934677124,87.77508733116763,0.5,0.01,1.0,3.505591869354248,-1.0
107,0.9195814061164856,88.69466873728412,0.5,0.01,1.0,3.541628122329712,-1.0
108,0.9216289806365967,89.61629771792072,0.5,0.01,1.0,3.5825796127319336,-1.0
109,0.9236384201049805,90.5399361380257,0.5,0.01,1.0,3.6227684020996094,-1.0
110,0.9255443382263184,91.46548047625201,0.5,0.01,1.0,3.660886764526367,-1.0
111,0.9275274085998535,92.39300788485187,0.5,0.01,1.0,3.7005481719970703,-1.0
112,0.9301816272735597,93.32318951212542,0.5,0.01,1.0,3.7536325454711914,-1.0
113,0.9321330952644349,94.25532260738986,0.5,0.01,1.0,3.7926619052886963,-1.0
114,0.9334009456634522,95.18872355305331,0.5,0.01,1.0,3.818018913269043,-1.0
115,0.9353453207015991,96.12406887375491,0.5,0.01,1.0,3.8569064140319824,-1.0
116,0.9374583053588867,97.0615271791138,0.5,0.01,1.0,3.8991661071777344,-1.0
117,0.9475849509239197,98.00911213003772,0.5,0.01,0.0,3.9516990184783936,-1.0
118,0.9487253427505493,98.95783747278827,0.4,-0.04,0.0,3.9745068550109863,-1.0
119,0.9425836610794067,99.90042113386768,0.4,-0.04,1.0,4.001673221588135,-1.0
120,0.9435820627212526,100.84400319658893,0.5,0.01,1.0,4.021641254425049,-1.0
121,0.937298903465271,101.7813021000542,0.5,0.01,2.0,4.04597806930542,-1.0
122,0.9388260698318481,102.72012816988605,0.5,0.01,2.0,4.076521396636963,-1.0
123,0.940530309677124,103.66065847956318,0.5,0.01,2.0,4.1106061935424805,-1.0
124,0.942279109954834,104.60293758951802,0.5,0.01,2.0,4.14558219909668,-1.0
125,0.9515101957321168,105.55444778525013,0.5,0.01,1.0,4.180203914642334,-1.0
126,0.9533054876327516,106.50775327288288,0.5,0.01,1.0,4.216109752655029,-1.0
127,0.9551626014709473,107.46291587435383,0.5,0.01,1.0,4.253252029418945,-1.0
128,0.9569912004470826,108.4199070748009,0.5,0.01,1.0,4.28982400894165,-1.0
129,0.9588649320602418,109.37877200686114,0.5,0.01,1.0,4.327298641204834,-1.0
130,0.9606282043457032,110.33940021120685,0.5,0.01,1.0,4.3625640869140625,-1.0
131,0.9618781852722169,111.30127839647906,0.5,0.01,1.0,4.387563705444336,-1.0
132,0.9636373329162597,112.26491572939533,0.5,0.01,1.0,4.422746658325195,-1.0
133,0.9654315519332886,113.23034728132862,0.5,0.01,1.0,4.4586310386657715,-1.0
134,0.9671623992919922,114.19750968062061,0.5,0.01,1.0,4.493247985839844,-1.0
135,0.9688004064559936,115.16631008707661,0.5,0.01,1.0,4.526008129119873,-1.0
136,0.9780572652816772,116.14436735235829,0.5,0.01,0.0,4.561145305633545,-1.0
137,0.97973473072052,117.12410208307881,0.5,0.01,0.0,4.5946946144104,-1.0
138,0.9815442800521851,118.105646363131,0.5,0.01,0.0,4.630885601043701,-1.0
139,0.983272123336792,119.08891848646779,0.5,0.01,0.0,4.66544246673584,-1.0
140,0.9850226640701294,120.07394115053792,0.5,0.01,0.0,4.700453281402588,-1.0
