Episode,Reward,Num_steps,Finish,Deviation,Exploration_rate,Distance,Mean veal
157,-23.868527337112603,125,False,-145.0,-1.0,10,5.220946580532938
158,-24.852361048059805,104,False,-140.0,-1.0,10,3.114795246116745
159,-28.072121071231155,101,False,133.0,-1.0,10,3.8943878518011754
160,-25.469165579478663,110,False,136.0,-1.0,10,3.9892038031904535
161,-21.45529723108454,170,False,-182.0,-1.0,10,7.06252908857868
162,-27.298333515673875,103,False,-139.0,-1.0,10,4.2037448196048
163,-25.978268038962568,85,False,-155.0,-1.0,10,3.8953297757269705
164,-24.469882313995484,103,False,148.0,-1.0,10,3.759586246937369
165,-25.84534931680667,106,False,137.0,-1.0,10,4.582730017532155
166,-30.350556696874754,59,False,150.0,-1.0,10,3.30515000287254
167,-27.28619769212603,101,False,-135.0,-1.0,10,3.971777454472728
168,-28.242716487318276,70,False,155.0,-1.0,10,2.89344940962536
169,-29.624565333489862,65,False,142.0,-1.0,10,3.5359628055244685
170,-29.508718988828356,69,False,140.0,-1.0,10,3.9144997573525147
171,-13.719255816446871,262,False,148.0,-1.0,10,7.666313777699043
172,-28.821454135908613,71,False,138.0,-1.0,10,3.9456165821724376
173,-23.58716627329588,144,False,141.0,-1.0,10,5.418283890971604
174,-26.222870636732452,113,False,-141.0,-1.0,10,4.603580249475513
175,-20.72580101941312,150,False,147.0,-1.0,10,2.850074432575493
176,-28.91678811683399,85,False,-141.0,-1.0,10,2.933762912956231
177,-24.610717154522032,113,False,-191.0,-1.0,10,3.9000800417868042
178,-23.05915198217226,148,False,148.0,-1.0,10,5.4457665565307645
179,-17.504917901575567,193,False,-151.0,-1.0,10,4.763500497612796
180,-26.07053409374611,96,False,-143.0,-1.0,10,4.82690826250473
181,-23.698872489603513,181,False,-191.0,-1.0,10,6.872858383728819
182,-25.922734568140335,104,False,141.0,-1.0,10,3.201008784419033
183,-18.829596521660683,206,False,-144.0,-1.0,10,5.236193778929165
184,-25.988743005454538,91,False,145.0,-1.0,10,3.3709000888188463
185,-25.68372754476113,107,False,-151.0,-1.0,10,5.310009392117646
186,-25.686820165255234,92,False,140.0,-1.0,10,3.0601645202335455
187,-23.909562111899255,114,False,138.0,-1.0,10,3.2524247505587707
188,-28.615569872590047,75,False,-155.0,-1.0,10,3.2334183349708714
189,-27.255577613915715,85,False,161.0,-1.0,10,3.300118073974462
190,-24.94622561900583,112,False,132.0,-1.0,10,4.366599808717313
191,-24.5043007587237,121,False,-142.0,-1.0,10,3.0041833742048345
192,-27.914648384133617,86,False,-150.0,-1.0,10,2.7937866688792616
193,-27.18493457279993,102,False,-143.0,-1.0,10,2.961481124662575
194,-27.591820360751026,88,False,150.0,-1.0,10,4.715244288715026
195,-28.204343222618103,84,False,139.0,-1.0,10,3.404421001839052
196,-23.181110538165484,164,False,-118.0,-1.0,10,5.901799225873064
197,-22.191535128460927,140,False,135.0,-1.0,10,4.109836566341775
198,-27.99774568490897,124,False,183.0,-1.0,10,5.571780289125238
199,-25.273088613736306,122,False,126.0,-1.0,10,4.645758837316429
200,-28.01165825401246,95,False,138.0,-1.0,10,3.3339431486827764
201,-24.813416163619078,118,False,169.0,-1.0,10,4.541340972624435
202,-29.650210434360165,72,False,143.0,-1.0,10,3.2675358568214707
203,-26.66353031679988,116,False,-133.0,-1.0,10,4.83390130602016
204,-26.943987615687504,108,False,-142.0,-1.0,10,3.5129184150137007
205,-24.67599399343559,127,False,-164.0,-1.0,10,5.508313588409384
206,-26.907291411067753,94,False,-131.0,-1.0,10,5.69970968435023
207,-25.485978506978064,135,False,-181.0,-1.0,10,3.957522720700406
208,-20.522474618313566,156,False,-134.0,-1.0,10,5.226915924821813
209,-23.160197835515653,145,False,124.0,-1.0,10,3.249405633266373
210,-17.89020019051219,149,False,-197.0,-1.0,10,4.523819456179118
211,-27.017014202564955,90,False,142.0,-1.0,10,2.9478064202289613
212,-23.139840150330752,143,False,-131.0,-1.0,10,3.9262089695589344
213,-14.750076272048052,308,False,131.0,-1.0,10,7.15105563109021
214,-24.39543254564915,149,False,-132.0,-1.0,10,6.515791877791686
215,-19.814250977158544,155,False,154.0,-1.0,10,3.9200692371555395
216,-20.148826851442458,186,False,137.0,-1.0,10,5.654393057649334
217,-25.855999651121238,105,False,130.0,-1.0,10,3.4101400985870334
218,-26.841440594588008,96,False,-149.0,-1.0,10,3.0703748287730073
219,-27.384367024391885,90,False,139.0,-1.0,10,3.6316614926922033
220,-27.276423405906982,83,False,129.0,-1.0,10,3.358787141992789
221,-27.43754394971047,91,False,-153.0,-1.0,10,2.250958731990937
222,-28.607076710530688,89,False,-185.0,-1.0,10,3.86012323569046
223,-28.256714346517406,67,False,-153.0,-1.0,10,3.2864825877625106
224,-20.27492106220552,165,False,-156.0,-1.0,10,4.901560841528981
225,-29.678798040321894,74,False,-137.0,-1.0,10,3.9708618053008577
226,-18.069403859819676,229,False,127.0,-1.0,10,5.0803134313886975
227,-23.84881582368271,152,False,-186.0,-1.0,10,3.1094284355119606
228,-20.740313240385497,210,False,-133.0,-1.0,10,6.419480290854283
229,-24.51035217231086,110,False,150.0,-1.0,10,3.134387220212375
230,-25.182629945184505,133,False,-138.0,-1.0,10,2.411179444451529
231,-23.613620275118528,136,False,-126.0,-1.0,10,4.923751108639836
232,-24.14826201825057,127,False,131.0,-1.0,10,3.7438408281288833
233,-28.221407061253274,76,False,153.0,-1.0,10,2.35270891448875
234,-25.18882468764271,123,False,139.0,-1.0,10,4.911494336550964
235,-20.792951269984243,200,False,-169.0,-1.0,10,3.107573087499477
236,-24.598355392166546,114,False,-138.0,-1.0,10,4.724427879477541
237,-25.585803831385714,123,False,151.0,-1.0,10,5.480600912275353
238,-27.56726629678692,123,False,-119.0,-1.0,10,3.3869215677966973
239,-17.547254095175436,173,False,148.0,-1.0,10,2.4437171076289834
240,-23.112926388895932,158,False,123.0,-1.0,10,3.735167323653122
241,-20.74113527125121,165,False,-171.0,-1.0,10,5.461316888218139
242,-17.141160247040634,215,False,118.0,-1.0,10,4.282890509727389
243,-21.743766247378925,146,False,-129.0,-1.0,10,5.123784070183867
244,-28.603501889743974,83,False,-147.0,-1.0,10,2.5140925153391436
245,-22.716175432831044,151,False,132.0,-1.0,10,3.7339196643662573
246,-22.15535966183883,216,False,134.0,-1.0,10,3.8167831707784594
247,-14.479865962464906,237,False,134.0,-1.0,10,5.2599027839882
248,-23.695668411237854,133,False,150.0,-1.0,10,3.4821222746378
249,-25.391624731020464,150,False,141.0,-1.0,10,4.499263970299314
250,-19.53488240713731,177,False,-128.0,-1.0,10,2.837611179085222
251,-22.910432082423142,135,False,149.0,-1.0,10,2.385865935455594
252,-15.430322481685447,241,False,-135.0,-1.0,10,2.4407164114652997
253,-6.5455758047354,419,False,151.0,-1.0,10,3.4772312270443657
254,-15.467143643237645,190,False,127.0,-1.0,10,3.5727506806920775
255,-18.883393861750406,178,False,-138.0,-1.0,10,3.313787212511629
256,-18.50176861061156,170,False,-139.0,-1.0,10,2.698429099672734
257,-23.5434579984567,139,False,-124.0,-1.0,10,5.685216206226418
258,-21.283117745559117,130,False,139.0,-1.0,10,3.0855362373386295
259,-23.61461191866014,130,False,130.0,-1.0,10,2.7789354857702095
260,-24.518113024017637,147,False,141.0,-1.0,10,5.359548432619444
261,-13.498179926453968,317,False,-160.0,-1.0,10,4.295704633590147
262,-24.052765084083585,147,False,-126.0,-1.0,10,4.782030845098958
263,-19.93049535345392,220,False,153.0,-1.0,10,3.8156699197895994
264,-27.549796234426754,102,False,-185.0,-1.0,10,3.448694687081026
265,-20.238503305897115,201,False,164.0,-1.0,10,4.7048385825524495
266,-8.526430239141519,402,False,121.0,-1.0,10,6.274092525076955
267,-21.343528693515275,160,False,132.0,-1.0,10,4.907129766815342
268,-22.541649172740325,170,False,-123.0,-1.0,10,5.173358514903606
269,-24.62711929542784,135,False,120.0,-1.0,10,2.560028617948087
270,-29.971439835867713,78,False,-147.0,-1.0,10,2.4708756859151597
271,-25.15679393564803,133,False,141.0,-1.0,10,4.715687802593623
272,-8.895961230462152,455,False,143.0,-1.0,10,4.246758629873927
273,-22.66249621850252,143,False,-135.0,-1.0,10,2.6238703234837604
274,-23.359669796830843,233,False,133.0,-1.0,10,5.073984113629796
275,-22.324915408919956,156,False,-134.0,-1.0,10,3.41495873067134
276,-14.350661157530869,199,False,161.0,-1.0,10,4.372592681541515
277,-16.864644279026564,208,False,-151.0,-1.0,10,2.1535739727416794
278,-29.432438250056336,81,False,-154.0,-1.0,10,2.6429451383121405
279,-15.630417564602823,221,False,138.0,-1.0,10,3.8457796393369
280,-23.1505884077996,133,False,-148.0,-1.0,10,2.181959516690918
281,-9.078810222091402,262,False,129.0,-1.0,10,4.057188280452867
282,-24.541140746293323,115,False,-139.0,-1.0,10,2.793824076672773
283,-26.826290231630203,113,False,-148.0,-1.0,10,3.492975235846619
284,-26.710367762199468,126,False,-184.0,-1.0,10,2.8943391818597557
285,-16.368203469482914,256,False,149.0,-1.0,10,5.355823052665073
286,-26.08120837182019,123,False,-153.0,-1.0,10,1.63199222687541
287,-5.169364671957258,574,False,143.0,-1.0,10,5.152276268378159
288,2.945705405999526,665,False,167.0,-1.0,10,4.584838496588164
289,-28.588484493457845,76,False,-152.0,-1.0,10,3.1593913895715224
290,-5.762828801526545,349,False,130.0,-1.0,10,2.9317592872266007
291,-15.3614107483982,215,False,130.0,-1.0,10,2.826796281614969
292,-16.95064139818614,180,False,140.0,-1.0,10,2.6477315242702995
293,-16.684630775849747,222,False,134.0,-1.0,10,2.621321551347579
294,-24.868743345281906,130,False,-141.0,-1.0,10,1.9828284472477837
295,-23.26350304182938,188,False,-134.0,-1.0,10,2.7869980978126825
296,-22.59677599832841,143,False,140.0,-1.0,10,2.0558612972374912
297,-23.21203797506009,168,False,124.0,-1.0,10,2.201289558005599
298,-20.495624956339594,198,False,131.0,-1.0,10,2.462153465806911
299,-22.004791663774412,164,False,131.0,-1.0,10,2.804818047210574
300,-26.26210440329143,122,False,119.0,-1.0,10,2.56757758666578
301,-28.13497482636997,107,False,-129.0,-1.0,10,3.078388361225479
302,-11.34633054450154,386,False,122.0,-1.0,10,2.218521822490746
303,-8.921255460202694,244,False,142.0,-1.0,10,2.0174669944013273
304,-25.402490002555506,125,False,139.0,-1.0,10,2.6128373846039175
305,11.717698011687844,865,False,-152.0,-1.0,10,2.267993553128814
306,-21.919602010020192,149,False,154.0,-1.0,10,3.9567752473725117
307,-17.874870220746306,204,False,125.0,-1.0,10,1.8501256300351088
308,-28.165353597044945,100,False,-138.0,-1.0,10,2.5732419086806475
309,-20.368598546802993,142,False,149.0,-1.0,10,2.365867466290324
310,-15.21198734759433,286,False,141.0,-1.0,10,1.5532651803980524
311,-5.710806798279268,337,False,150.0,-1.0,10,1.7949102695915435
312,-19.182296817251608,184,False,131.0,-1.0,10,1.706979329861655
313,-19.220742772306707,181,False,139.0,-1.0,10,2.9066042344158873
314,7.981480398978469,454,False,136.0,-1.0,10,2.031855769779742
315,-7.735812941363889,247,False,130.0,-1.0,10,1.8260689076745076
316,-13.561426558205028,198,False,144.0,-1.0,10,1.2676020588288073
317,-23.835659760355952,192,False,140.0,-1.0,10,1.5315877371200866
318,-9.90520902444635,391,False,131.0,-1.0,10,1.6184681996361978
