Steps,Reward,Accumulated reward,Throttle,Steer,deviation,velocity,Brake,Distance,Distance back-right
1679,0.9332053921563285,1582.6584475242457,0.5027005076408386,-0.017063051462173462,-2.0,17.05376434326172,-1.0,20,20
1680,0.9340823678012404,1583.592529892047,0.502746045589447,-0.016578320413827896,-2.0,17.056270599365234,-1.0,20,20
1681,0.9303355317541531,1584.522865423801,0.5028941035270691,-0.018697276711463928,-2.0,17.05995750427246,-1.0,20,20
1682,0.9293338328578642,1585.4521992566588,0.5028612613677979,-0.019253630191087723,-2.0,17.065874099731445,-1.0,20,20
1683,0.932414140363889,1586.3846133970226,0.5026678442955017,-0.017501579597592354,-2.0,17.068456649780273,-1.0,20,20
1684,0.9306459798855441,1587.3152593769082,0.5028225183486938,-0.018513403832912445,-2.0,17.07122230529785,-1.0,20,20
1685,0.9405860023030213,1588.2558453792112,0.502619206905365,-0.016278527677059174,-1.0,17.07406997680664,-1.0,20,20
1686,0.935598114450063,1589.1914434936614,0.5026081800460815,-0.015710201114416122,-2.0,17.07729148864746,-1.0,20,20
1687,0.9338591682304229,1590.1253026618917,0.5026326179504395,-0.016687432304024696,-2.0,17.08020782470703,-1.0,20,20
1688,0.9345094603598117,1591.0598121222515,0.5026643872261047,-0.016327716410160065,-2.0,17.08240509033203,-1.0,20,20
1689,0.9326142594995243,1591.992426381751,0.5027889609336853,-0.017406469210982323,-2.0,17.084911346435547,-1.0,20,20
1690,0.9316445189373833,1592.9240709006885,0.5028464198112488,-0.017957568168640137,-2.0,17.087997436523438,-1.0,20,20
1691,0.9366762205804032,1593.860747121269,0.5026241540908813,-0.015108698047697544,-2.0,17.090538024902344,-1.0,20,20
1692,0.9334996978065797,1594.7942468190756,0.5027815103530884,-0.016909580677747726,-2.0,17.093250274658203,-1.0,20,20
1693,0.9304718302807637,1595.7247186493564,0.5027768611907959,-0.01860453560948372,-2.0,17.096431732177734,-1.0,20,20
1694,0.9294180970617703,1596.654136746418,0.5027693510055542,-0.019193574786186218,-2.0,17.098590850830078,-1.0,20,20
1695,0.9325755904540419,1597.586712336872,0.5026600956916809,-0.01741008274257183,-2.0,17.10169219970703,-1.0,20,20
1696,0.930865210691733,1598.5175775475639,0.5028143525123596,-0.018389491364359856,-2.0,17.104246139526367,-1.0,20,20
1697,0.9322712047004273,1599.4498487522642,0.5027491450309753,-0.017593005672097206,-2.0,17.1092529296875,-1.0,20,20
1698,0.9336605063485247,1600.3835092586128,0.5026959180831909,-0.016807544976472855,-2.0,17.111618041992188,-1.0,20,20
1699,0.9326176069389496,1601.3161268655517,0.5027758479118347,-0.017402758821845055,-2.0,17.11406707763672,-1.0,20,20
1700,0.9329849668624145,1602.2491118324142,0.5026866793632507,-0.017184553667902946,-2.0,17.11717414855957,-1.0,20,20
1701,0.9347965841825518,1603.1839084165968,0.5027057528495789,-0.01617271825671196,-2.0,17.12039566040039,-1.0,20,20
1702,0.9316397338019949,1604.1155481503988,0.5028051137924194,-0.017954465001821518,-2.0,17.125303268432617,-1.0,20,20
1703,0.9313302292334181,1605.0468783796323,0.502788245677948,-0.018125426024198532,-2.0,17.12771224975586,-1.0,20,20
1704,0.9288054932951927,1605.9756838729274,0.5028391480445862,-0.019546404480934143,-2.0,17.13045883178711,-1.0,20,20
