Episode,Reward,Steps,Finish,deviation,Exploration_rate,laser,Mean vel,Counter laser
113,67.36700372376119,183,False,-106.0,-1.0,3.778947048431831,8.35446200208596,50.81967213114754
114,-4.102986698864058,123,False,-99.0,-1.0,3.7832823543760865,5.099242613766327,100.0
115,83.94267859208136,200,False,-97.0,-1.0,3.6681555986595717,8.477214689964894,45.0
116,5.130791645296284,122,False,-104.0,-1.0,3.9282751078974143,5.350463820962983,100.0
117,41.277529886789324,190,False,-97.0,-1.0,3.757911044131504,8.320073130785635,98.42105263157895
118,56.735395071800625,171,False,-101.0,-1.0,3.5849245057491617,7.637087653668826,64.32748538011695
119,22.449196486918495,136,False,-101.0,-1.0,3.9053377313470645,6.136858004917432,83.82352941176471
120,-31.39448668778719,108,False,-106.0,-1.0,3.7874354368784213,4.274818500885481,100.0
121,60.47033241572801,172,False,-110.0,-1.0,3.712489700793023,7.688989402137448,64.53488372093024
122,-10.542702939700867,106,False,-116.0,-1.0,3.9427412402339446,4.658443201212476,100.0
123,59.863237054630005,172,False,-114.0,-1.0,3.920266216769157,7.57714219146197,52.90697674418605
124,-6.930972084376577,126,False,-108.0,-1.0,3.98552584787235,5.756327150021828,100.0
125,52.80340145606341,174,False,-109.0,-1.0,3.8118131894236678,6.933199903899643,62.643678160919535
126,-13.572838659955394,116,False,-101.0,-1.0,3.767155868669093,5.0513024062484275,100.0
127,-20.581743799883057,131,False,-102.0,-1.0,3.6892592897531493,5.088996060123269,100.0
128,-26.379150294925367,118,False,-104.0,-1.0,3.8875206133079763,4.308088141872342,100.0
129,10.097847176130344,117,False,-104.0,-1.0,3.9564603871011603,5.568656091498704,100.0
130,14.729178737911894,144,False,-109.0,-1.0,3.7100733514438016,5.905246947937282,100.0
131,48.22771131145629,177,False,-99.0,-1.0,3.93013769107536,6.90510112361451,71.1864406779661
132,18.232165211053754,154,False,-104.0,-1.0,3.918438678815414,6.270933393036717,98.7012987012987
133,-8.893876901472446,108,False,-107.0,-1.0,3.9783581937114905,4.651580318758971,100.0
134,7.245494440424039,141,False,-112.0,-1.0,3.743152025741397,5.876070240935218,100.0
135,-8.512400587365406,123,False,-112.0,-1.0,3.8961312676115902,5.084674383038504,100.0
136,50.649978027419024,190,False,-108.0,-1.0,3.9752159158950855,7.003590759267344,72.63157894736842
137,-7.160025286828599,139,False,-102.0,-1.0,3.8284713885844948,5.284952745975578,100.0
138,0.4422749613704653,131,False,-112.0,-1.0,3.846590207243643,5.798097254679972,100.0
139,56.42120188046057,168,False,-115.0,-1.0,3.8565100887673167,7.076361890764453,62.5
140,67.77286029564554,192,False,-116.0,-1.0,3.674970740573673,7.537468346584016,60.416666666666664
141,66.63396420783711,187,False,-119.0,-1.0,3.668347435204464,8.010642897199471,59.35828877005348
142,63.94681046702492,187,False,-99.0,-1.0,3.815182533557597,7.5432374084151705,63.101604278074866
143,-30.99810805791125,116,False,-105.0,-1.0,3.787891367655189,4.264213750263322,100.0
144,41.254763416787014,190,False,-90.0,-1.0,3.981149249535673,7.52797948836692,98.94736842105263
