Episode,Reward,Steps,Finish,deviation,Exploration_rate,laser,Mean vel,Counter laser,Truncated
141,-21.156281935461998,58,False,3.0,1.0,3.135689574525714,3.783926872873743,0,False
142,-28.71351464683027,51,False,-5.0,1.0,3.099781517204393,3.6087906507446483,0,False
143,-23.582245455230343,83,False,-4.0,1.0,3.094215961214172,4.2737913515463655,0,False
144,-8.632357728676013,123,False,-7.0,1.0,3.074019061020257,4.268256645286229,0,False
145,-18.911340098508262,106,False,-15.0,1.0,3.0739837405473875,4.083000601884329,0,False
146,-23.228806260535308,57,False,0.0,1.0,3.1742669143984137,3.67441599182131,0,False
147,-16.87442654366889,63,False,-6.0,1.0,3.435263347235273,3.3471454073201925,0,False
148,-25.695501962648294,75,False,4.0,1.0,3.27090341655274,3.9901807179053623,0,False
149,-19.471637637899647,69,False,-9.0,1.0,3.0958152374048993,3.655439220962749,0,False
150,-28.303391301767107,77,False,-6.0,1.0,3.048245864846908,4.266020512958239,0,False
151,-18.086647050398028,109,False,-10.0,1.0,3.0955946649414616,4.39706457614762,0,False
152,-24.446561572194156,75,False,1.0,1.0,3.170496939070683,4.083217182730635,0,False
153,-16.241662997052245,65,False,6.0,1.0,3.1251320690711517,3.493702024106796,0,False
154,-32.231213684448335,65,False,0.0,1.0,3.2857614134961888,4.113669641330265,0,False
155,-16.405848553072616,70,False,-5.0,1.0,3.09482869946016,3.7157188145709887,0,False
156,-25.374912653971997,87,False,-4.0,1.0,3.1212486676617455,4.179450303851359,0,False
157,-18.045674293614475,100,False,-15.0,1.0,3.0765885805017894,4.28428882598877,0,False
158,-6.342236364558445,160,False,-16.0,1.0,3.237266054050913,4.600726599572226,0,False
159,-24.59819982516362,78,False,-11.0,1.0,3.2489836417396796,4.320355699230463,0,False
160,-7.170614385584344,100,False,-15.0,1.0,3.253176021614089,4.120249704010785,0,False
161,-8.251179051788334,155,False,3.0,1.0,3.129578240867596,4.457480691012837,0,False
162,2.5045503208685815,161,False,-4.0,1.0,3.099333764254511,4.321282568879379,0,False
163,14.071490484794182,240,False,-5.0,1.0,3.1016232594853013,4.624341671758642,0,False
164,-22.11689937544856,86,False,-1.0,1.0,3.073374011819251,4.128187809031197,0,False
165,-18.24364718226773,92,False,3.0,1.0,3.0796542275385463,3.9924533686236194,0,False
166,-17.761736945174604,113,False,-21.0,1.0,3.107775872548382,4.44850277152341,0,False
167,-18.010204987265617,89,False,-2.0,1.0,3.1925691017491866,4.028408195802502,0,False
168,-13.891314204728225,124,False,-10.0,1.0,3.101045403655921,4.630343930946002,0,False
169,-22.47709096963164,95,False,-5.0,1.0,3.0979284265609346,4.19172495123195,0,False
170,-25.949348853977547,79,False,-3.0,1.0,3.2873044705621983,4.124727263245024,0,False
171,-24.09444146139561,77,False,-16.0,1.0,3.096196373600199,4.212388139895418,0,False
172,-14.848372310501226,115,False,-10.0,1.0,3.2939626600739706,4.42827096030764,0,False
173,-23.105779644232648,101,False,-6.0,1.0,3.1417758278403887,4.470271827339536,0,False
174,-21.641855337227867,101,False,-7.0,1.0,3.109396404376947,4.6053255295915765,0,False
175,-18.42484922614352,87,False,-7.0,1.0,3.168749154394689,4.393350221152449,0,False
176,0.8875178530204906,156,False,5.0,1.0,3.0937222975690783,4.286155013892895,0,False
177,-14.716939265198647,89,False,-2.0,1.0,3.074362172320885,4.041634218516142,0,False
178,-25.674722607714088,78,False,-6.0,1.0,3.107449313006625,3.9625727658948073,0,False
179,-31.259725997915073,68,False,-5.0,1.0,3.2400287470443345,4.117311273304307,0,False
180,-16.962770425698714,71,False,-4.0,1.0,3.103342321083044,3.6372862161779906,0,False
181,-21.196825205515125,112,False,-5.0,1.0,3.3420315703741035,4.541498639022133,0,False
